"A","B","C","D"
"09100","09101","00010","K00844"
"09100","09101","00010","K12407"
"09100","09101","00010","K00845"
"09100","09101","00010","K25026"
"09100","09101","00010","K01810"
"09100","09101","00010","K06859"
"09100","09101","00010","K13810"
"09100","09101","00010","K15916"
"09100","09101","00010","K24182"
"09100","09101","00010","K00850"
"09100","09101","00010","K16370"
"09100","09101","00010","K21071"
"09100","09101","00010","K00918"
"09100","09101","00010","K00895"
"09100","09101","00010","K03841"
"09100","09101","00010","K02446"
"09100","09101","00010","K11532"
"09100","09101","00010","K01086"
"09100","09101","00010","K04041"
"09100","09101","00010","K01623"
"09100","09101","00010","K11645"
"09100","09101","00010","K01624"
"09100","09101","00010","K01622"
"09100","09101","00010","K16305"
"09100","09101","00010","K16306"
"09100","09101","00010","K01803"
"09100","09101","00010","K00134"
"09100","09101","00010","K10705"
"09100","09101","00010","K00150"
"09100","09101","00010","K00927"
"09100","09101","00010","K01834"
"09100","09101","00010","K15634"
"09100","09101","00010","K15633"
"09100","09101","00010","K15635"
"09100","09101","00010","K01689"
"09100","09101","00010","K27394"
"09100","09101","00010","K00873"
"09100","09101","00010","K12406"
"09100","09101","00010","K01006"
"09100","09101","00010","K01007"
"09100","09101","00010","K00163"
"09100","09101","00010","K00161"
"09100","09101","00010","K00162"
"09100","09101","00010","K00627"
"09100","09101","00010","K00382"
"09100","09101","00010","K13997"
"09100","09101","00010","K00169"
"09100","09101","00010","K00170"
"09100","09101","00010","K00172"
"09100","09101","00010","K00189"
"09100","09101","00010","K00171"
"09100","09101","00010","K03737"
"09100","09101","00010","K00174"
"09100","09101","00010","K00175"
"09100","09101","00010","K00016"
"09100","09101","00010","K01568"
"09100","09101","00010","K13951"
"09100","09101","00010","K13980"
"09100","09101","00010","K00121"
"09100","09101","00010","K13952"
"09100","09101","00010","K04072"
"09100","09101","00010","K13953"
"09100","09101","00010","K13954"
"09100","09101","00010","K18857"
"09100","09101","00010","K00001"
"09100","09101","00010","K00002"
"09100","09101","00010","K12957"
"09100","09101","00010","K13979"
"09100","09101","00010","K14028"
"09100","09101","00010","K14029"
"09100","09101","00010","K00114"
"09100","09101","00010","K04022"
"09100","09101","00010","K22473"
"09100","09101","00010","K22474"
"09100","09101","00010","K00128"
"09100","09101","00010","K14085"
"09100","09101","00010","K00149"
"09100","09101","00010","K00129"
"09100","09101","00010","K00138"
"09100","09101","00010","K01895"
"09100","09101","00010","K01913"
"09100","09101","00010","K01905"
"09100","09101","00010","K22224"
"09100","09101","00010","K24012"
"09100","09101","00010","K01785"
"09100","09101","00010","K01085"
"09100","09101","00010","K20866"
"09100","09101","00010","K01835"
"09100","09101","00010","K15778"
"09100","09101","00010","K15779"
"09100","09101","00010","K01084"
"09100","09101","00010","K00886"
"09100","09101","00010","K08074"
"09100","09101","00010","K01792"
"09100","09101","00010","K01837"
"09100","09101","00010","K03103"
"09100","09101","00010","K11389"
"09100","09101","00010","K00131"
"09100","09101","00010","K18978"
"09100","09101","00010","K01596"
"09100","09101","00010","K01610"
"09100","09101","00010","K01222"
"09100","09101","00010","K01223"
"09100","09101","00010","K02777"
"09100","09101","00010","K02779"
"09100","09101","00010","K02791"
"09100","09101","00010","K20118"
"09100","09101","00010","K02753"
"09100","09101","00020","K01647"
"09100","09101","00020","K05942"
"09100","09101","00020","K01659"
"09100","09101","00020","K27797"
"09100","09101","00020","K01648"
"09100","09101","00020","K15230"
"09100","09101","00020","K15231"
"09100","09101","00020","K01681"
"09100","09101","00020","K27802"
"09100","09101","00020","K01682"
"09100","09101","00020","K00031"
"09100","09101","00020","K00030"
"09100","09101","00020","K17753"
"09100","09101","00020","K00164"
"09100","09101","00020","K00658"
"09100","09101","00020","K01616"
"09100","09101","00020","K00382"
"09100","09101","00020","K00174"
"09100","09101","00020","K00175"
"09100","09101","00020","K00177"
"09100","09101","00020","K00176"
"09100","09101","00020","K01902"
"09100","09101","00020","K01903"
"09100","09101","00020","K01899"
"09100","09101","00020","K01900"
"09100","09101","00020","K18118"
"09100","09101","00020","K00234"
"09100","09101","00020","K00235"
"09100","09101","00020","K00236"
"09100","09101","00020","K00237"
"09100","09101","00020","K25801"
"09100","09101","00020","K00239"
"09100","09101","00020","K00240"
"09100","09101","00020","K00241"
"09100","09101","00020","K00242"
"09100","09101","00020","K18859"
"09100","09101","00020","K18860"
"09100","09101","00020","K00244"
"09100","09101","00020","K00245"
"09100","09101","00020","K00246"
"09100","09101","00020","K00247"
"09100","09101","00020","K00233"
"09100","09101","00020","K25995"
"09100","09101","00020","K25996"
"09100","09101","00020","K26318"
"09100","09101","00020","K01676"
"09100","09101","00020","K01677"
"09100","09101","00020","K01678"
"09100","09101","00020","K01679"
"09100","09101","00020","K01675"
"09100","09101","00020","K01774"
"09100","09101","00020","K00025"
"09100","09101","00020","K00026"
"09100","09101","00020","K00024"
"09100","09101","00020","K00116"
"09100","09101","00020","K01958"
"09100","09101","00020","K01959"
"09100","09101","00020","K01960"
"09100","09101","00020","K01610"
"09100","09101","00020","K01596"
"09100","09101","00020","K00163"
"09100","09101","00020","K00161"
"09100","09101","00020","K00162"
"09100","09101","00020","K00627"
"09100","09101","00020","K13997"
"09100","09101","00020","K00169"
"09100","09101","00020","K00170"
"09100","09101","00020","K00172"
"09100","09101","00020","K00189"
"09100","09101","00020","K00171"
"09100","09101","00020","K03737"
"09100","09101","00030","K01810"
"09100","09101","00030","K06859"
"09100","09101","00030","K13810"
"09100","09101","00030","K15916"
"09100","09101","00030","K00036"
"09100","09101","00030","K19243"
"09100","09101","00030","K01057"
"09100","09101","00030","K07404"
"09100","09101","00030","K13937"
"09100","09101","00030","K00033"
"09100","09101","00030","K01783"
"09100","09101","00030","K00615"
"09100","09101","00030","K00616"
"09100","09101","00030","K01807"
"09100","09101","00030","K01808"
"09100","09101","00030","K13812"
"09100","09101","00030","K08093"
"09100","09101","00030","K08094"
"09100","09101","00030","K13831"
"09100","09101","00030","K11214"
"09100","09101","00030","K01621"
"09100","09101","00030","K01619"
"09100","09101","00030","K00852"
"09100","09101","00030","K01839"
"09100","09101","00030","K22199"
"09100","09101","00030","K01835"
"09100","09101","00030","K15778"
"09100","09101","00030","K15779"
"09100","09101","00030","K21056"
"09100","09101","00030","K26208"
"09100","09101","00030","K18237"
"09100","09101","00030","K05774"
"09100","09101","00030","K00948"
"09100","09101","00030","K01690"
"09100","09101","00030","K01625"
"09100","09101","00030","K17463"
"09100","09101","00030","K11395"
"09100","09101","00030","K00131"
"09100","09101","00030","K18978"
"09100","09101","00030","K00034"
"09100","09101","00030","K22969"
"09100","09101","00030","K21840"
"09100","09101","00030","K18124"
"09100","09101","00030","K18125"
"09100","09101","00030","K00115"
"09100","09101","00030","K19813"
"09100","09101","00030","K00117"
"09100","09101","00030","K01053"
"09100","09101","00030","K06151"
"09100","09101","00030","K06152"
"09100","09101","00030","K00090"
"09100","09101","00030","K22229"
"09100","09101","00030","K11441"
"09100","09101","00030","K00032"
"09100","09101","00030","K00851"
"09100","09101","00030","K25031"
"09100","09101","00030","K05308"
"09100","09101","00030","K00874"
"09100","09101","00030","K18126"
"09100","09101","00030","K18127"
"09100","09101","00030","K03738"
"09100","09101","00030","K18020"
"09100","09101","00030","K18021"
"09100","09101","00030","K18022"
"09100","09101","00030","K18128"
"09100","09101","00030","K11529"
"09100","09101","00030","K22345"
"09100","09101","00030","K17464"
"09100","09101","00030","K17465"
"09100","09101","00030","K17466"
"09100","09101","00030","K17467"
"09100","09101","00030","K17468"
"09100","09101","00030","K01623"
"09100","09101","00030","K11645"
"09100","09101","00030","K01624"
"09100","09101","00030","K01622"
"09100","09101","00030","K16305"
"09100","09101","00030","K16306"
"09100","09101","00030","K03841"
"09100","09101","00030","K02446"
"09100","09101","00030","K11532"
"09100","09101","00030","K01086"
"09100","09101","00030","K04041"
"09100","09101","00030","K24182"
"09100","09101","00030","K00850"
"09100","09101","00030","K16370"
"09100","09101","00030","K21071"
"09100","09101","00030","K00918"
"09100","09101","00030","K00895"
"09100","09101","00040","K01051"
"09100","09101","00040","K22539"
"09100","09101","00040","K01728"
"09100","09101","00040","K19551"
"09100","09101","00040","K01731"
"09100","09101","00040","K22994"
"09100","09101","00040","K01730"
"09100","09101","00040","K26933"
"09100","09101","00040","K01815"
"09100","09101","00040","K00065"
"09100","09101","00040","K01184"
"09100","09101","00040","K01213"
"09100","09101","00040","K22933"
"09100","09101","00040","K01812"
"09100","09101","00040","K00041"
"09100","09101","00040","K01685"
"09100","09101","00040","K16849"
"09100","09101","00040","K16850"
"09100","09101","00040","K01686"
"09100","09101","00040","K08323"
"09100","09101","00040","K00040"
"09100","09101","00040","K21619"
"09100","09101","00040","K08322"
"09100","09101","00040","K18106"
"09100","09101","00040","K19634"
"09100","09101","00040","K18102"
"09100","09101","00040","K18103"
"09100","09101","00040","K18107"
"09100","09101","00040","K01195"
"09100","09101","00040","K14756"
"09100","09101","00040","K00699"
"09100","09101","00040","K16190"
"09100","09101","00040","K12447"
"09100","09101","00040","K00012"
"09100","09101","00040","K00963"
"09100","09101","00040","K00002"
"09100","09101","00040","K13247"
"09100","09101","00040","K08092"
"09100","09101","00040","K00880"
"09100","09101","00040","K03078"
"09100","09101","00040","K03079"
"09100","09101","00040","K03077"
"09100","09101","00040","K01783"
"09100","09101","00040","K01804"
"09100","09101","00040","K00853"
"09100","09101","00040","K24707"
"09100","09101","00040","K00854"
"09100","09101","00040","K01805"
"09100","09101","00040","K00011"
"09100","09101","00040","K00594"
"09100","09101","00040","K17743"
"09100","09101","00040","K26066"
"09100","09101","00040","K03331"
"09100","09101","00040","K25879"
"09100","09101","00040","K25880"
"09100","09101","00040","K25881"
"09100","09101","00040","K01820"
"09100","09101","00040","K00848"
"09100","09101","00040","K01629"
"09100","09101","00040","K17738"
"09100","09101","00040","K17818"
"09100","09101","00040","K00007"
"09100","09101","00040","K09988"
"09100","09101","00040","K05351"
"09100","09101","00040","K00008"
"09100","09101","00040","K22185"
"09100","09101","00040","K00078"
"09100","09101","00040","K14273"
"09100","09101","00040","K14274"
"09100","09101","00040","K24442"
"09100","09101","00040","K24443"
"09100","09101","00040","K14275"
"09100","09101","00040","K22186"
"09100","09101","00040","K22396"
"09100","09101","00040","K22397"
"09100","09101","00040","K14259"
"09100","09101","00040","K13877"
"09100","09101","00040","K19588"
"09100","09101","00040","K22187"
"09100","09101","00040","K00875"
"09100","09101","00040","K22935"
"09100","09101","00040","K00039"
"09100","09101","00040","K21680"
"09100","09101","00040","K05352"
"09100","09101","00040","K21681"
"09100","09101","00040","K21030"
"09100","09101","00040","K21031"
"09100","09101","00040","K01818"
"09100","09101","00040","K00879"
"09100","09101","00040","K01628"
"09100","09101","00051","K01218"
"09100","09101","00051","K19355"
"09100","09101","00051","K00847"
"09100","09101","00051","K01809"
"09100","09101","00051","K15916"
"09100","09101","00051","K16011"
"09100","09101","00051","K17497"
"09100","09101","00051","K01840"
"09100","09101","00051","K15778"
"09100","09101","00051","K16881"
"09100","09101","00051","K00971"
"09100","09101","00051","K00966"
"09100","09101","00051","K01711"
"09100","09101","00051","K02377"
"09100","09101","00051","K00976"
"09100","09101","00051","K18447"
"09100","09101","00051","K05305"
"09100","09101","00051","K01818"
"09100","09101","00051","K00879"
"09100","09101","00051","K01628"
"09100","09101","00051","K00064"
"09100","09101","00051","K18333"
"09100","09101","00051","K07046"
"09100","09101","00051","K18334"
"09100","09101","00051","K18335"
"09100","09101","00051","K18336"
"09100","09101","00051","K26911"
"09100","09101","00051","K18337"
"09100","09101","00051","K18338"
"09100","09101","00051","K12661"
"09100","09101","00051","K18339"
"09100","09101","00051","K12660"
"09100","09101","00051","K01813"
"09100","09101","00051","K21883"
"09100","09101","00051","K01820"
"09100","09101","00051","K00848"
"09100","09101","00051","K01629"
"09100","09101","00051","K05947"
"09100","09101","00051","K07026"
"09100","09101","00051","K18818"
"09100","09101","00051","K00844"
"09100","09101","00051","K24182"
"09100","09101","00051","K00850"
"09100","09101","00051","K16370"
"09100","09101","00051","K21071"
"09100","09101","00051","K00895"
"09100","09101","00051","K03841"
"09100","09101","00051","K02446"
"09100","09101","00051","K11532"
"09100","09101","00051","K01086"
"09100","09101","00051","K04041"
"09100","09101","00051","K19028"
"09100","09101","00051","K19029"
"09100","09101","00051","K01103"
"09100","09101","00051","K19030"
"09100","09101","00051","K00900"
"09100","09101","00051","K14634"
"09100","09101","00051","K00009"
"09100","09101","00051","K00068"
"09100","09101","00051","K19956"
"09100","09101","00051","K00846"
"09100","09101","00051","K27475"
"09100","09101","00051","K00882"
"09100","09101","00051","K00008"
"09100","09101","00051","K00011"
"09100","09101","00051","K00594"
"09100","09101","00051","K01805"
"09100","09101","00051","K08261"
"09100","09101","00051","K17742"
"09100","09101","00051","K19633"
"09100","09101","00051","K00045"
"09100","09101","00051","K27924"
"09100","09101","00051","K00007"
"09100","09101","00051","K00066"
"09100","09101","00051","K19290"
"09100","09101","00051","K19291"
"09100","09101","00051","K01795"
"09100","09101","00051","K01729"
"09100","09101","00051","K01623"
"09100","09101","00051","K11645"
"09100","09101","00051","K01624"
"09100","09101","00051","K01622"
"09100","09101","00051","K16305"
"09100","09101","00051","K16306"
"09100","09101","00051","K01803"
"09100","09101","00051","K00863"
"09100","09101","00051","K03332"
"09100","09101","00051","K22252"
"09100","09101","00051","K15856"
"09100","09101","00051","K00881"
"09100","09101","00051","K01808"
"09100","09101","00051","K17195"
"09100","09101","00051","K02768"
"09100","09101","00051","K02769"
"09100","09101","00051","K02770"
"09100","09101","00051","K11194"
"09100","09101","00051","K11195"
"09100","09101","00051","K11196"
"09100","09101","00051","K02771"
"09100","09101","00051","K02793"
"09100","09101","00051","K02794"
"09100","09101","00051","K02795"
"09100","09101","00051","K02796"
"09100","09101","00051","K25814"
"09100","09101","00051","K02798"
"09100","09101","00051","K02800"
"09100","09101","00051","K19270"
"09100","09101","00051","K24204"
"09100","09101","00051","K02781"
"09100","09101","00051","K02782"
"09100","09101","00051","K02783"
"09100","09101","00051","K02812"
"09100","09101","00051","K02813"
"09100","09101","00051","K02814"
"09100","09101","00051","K02815"
"09100","09101","00052","K01785"
"09100","09101","00052","K00849"
"09100","09101","00052","K00965"
"09100","09101","00052","K01784"
"09100","09101","00052","K17716"
"09100","09101","00052","K00963"
"09100","09101","00052","K01835"
"09100","09101","00052","K15778"
"09100","09101","00052","K15779"
"09100","09101","00052","K00844"
"09100","09101","00052","K12407"
"09100","09101","00052","K00845"
"09100","09101","00052","K25026"
"09100","09101","00052","K01084"
"09100","09101","00052","K01190"
"09100","09101","00052","K12111"
"09100","09101","00052","K12112"
"09100","09101","00052","K12308"
"09100","09101","00052","K12309"
"09100","09101","00052","K01229"
"09100","09101","00052","K00704"
"09100","09101","00052","K07966"
"09100","09101","00052","K07967"
"09100","09101","00052","K12447"
"09100","09101","00052","K01854"
"09100","09101","00052","K18819"
"09100","09101","00052","K06617"
"09100","09101","00052","K01189"
"09100","09101","00052","K07406"
"09100","09101","00052","K07407"
"09100","09101","00052","K00011"
"09100","09101","00052","K02773"
"09100","09101","00052","K02774"
"09100","09101","00052","K02775"
"09100","09101","00052","K00094"
"09100","09101","00052","K21620"
"09100","09101","00052","K21621"
"09100","09101","00052","K21622"
"09100","09101","00052","K00917"
"09100","09101","00052","K00850"
"09100","09101","00052","K16370"
"09100","09101","00052","K21071"
"09100","09101","00052","K01635"
"09100","09101","00052","K08302"
"09100","09101","00052","K16371"
"09100","09101","00052","K00035"
"09100","09101","00052","K22215"
"09100","09101","00052","K18124"
"09100","09101","00052","K18125"
"09100","09101","00052","K04618"
"09100","09101","00052","K01684"
"09100","09101","00052","K05308"
"09100","09101","00052","K11395"
"09100","09101","00052","K18127"
"09100","09101","00052","K00883"
"09100","09101","00052","K18126"
"09100","09101","00052","K01631"
"09100","09101","00052","K01819"
"09100","09101","00052","K01220"
"09100","09101","00052","K02786"
"09100","09101","00052","K02788"
"09100","09101","00052","K01193"
"09100","09101","00052","K06611"
"09100","09101","00052","K12047"
"09100","09101","00052","K01187"
"09100","09101","00052","K12316"
"09100","09101","00052","K12317"
"09100","09101","00052","K01182"
"09100","09101","00052","K01203"
"09100","09101","00052","K02744"
"09100","09101","00052","K02745"
"09100","09101","00052","K02746"
"09100","09101","00052","K02747"
"09100","09101","00052","K02079"
"09100","09101","00052","K02082"
"09100","09101","00052","K10984"
"09100","09101","00052","K10985"
"09100","09101","00052","K10986"
"09100","09101","00053","K00012"
"09100","09101","00053","K12447"
"09100","09101","00053","K16190"
"09100","09101","00053","K00699"
"09100","09101","00053","K01195"
"09100","09101","00053","K14756"
"09100","09101","00053","K00469"
"09100","09101","00053","K00002"
"09100","09101","00053","K01053"
"09100","09101","00053","K00103"
"09100","09101","00053","K10046"
"09100","09101","00053","K14190"
"09100","09101","00053","K10047"
"09100","09101","00053","K18649"
"09100","09101","00053","K00064"
"09100","09101","00053","K17744"
"09100","09101","00053","K00225"
"09100","09101","00053","K08679"
"09100","09101","00053","K19642"
"09100","09101","00053","K23003"
"09100","09101","00053","K23004"
"09100","09101","00053","K23005"
"09100","09101","00053","K23007"
"09100","09101","00053","K02821"
"09100","09101","00053","K02822"
"09100","09101","00053","K03475"
"09100","09101","00053","K03476"
"09100","09101","00053","K03078"
"09100","09101","00053","K03079"
"09100","09101","00053","K03077"
"09100","09101","00053","K08232"
"09100","09101","00053","K00434"
"09100","09101","00053","K21888"
"09100","09101","00053","K00423"
"09100","09101","00053","K08092"
"09100","09101","00053","K00880"
"09100","09101","00053","K00128"
"09100","09101","00053","K14085"
"09100","09101","00053","K00149"
"09100","09101","00053","K01706"
"09100","09101","00053","K01630"
"09100","09101","00053","K00062"
"09100","09101","00053","K00063"
"09100","09101","00053","K00107"
"09100","09101","00053","K19590"
"09100","09101","00053","K01683"
"09100","09101","00053","K14259"
"09100","09101","00053","K13873"
"09100","09101","00053","K19660"
"09100","09101","00053","K13874"
"09100","09101","00053","K24443"
"09100","09101","00053","K13875"
"09100","09101","00053","K13876"
"09100","09101","00053","K25260"
"09100","09101","00053","K13877"
"09100","09101","00053","K19588"
"09100","09101","00053","K01707"
"09100","09101","00053","K01708"
"09100","09101","00053","K20023"
"09100","09101","00053","K18981"
"09100","09101","00053","K18982"
"09100","09101","00053","K18983"
"09100","09101","00500","K02810"
"09100","09101","00500","K01193"
"09100","09101","00500","K00696"
"09100","09101","00500","K07024"
"09100","09101","00500","K00695"
"09100","09101","00500","K12047"
"09100","09101","00500","K01187"
"09100","09101","00500","K12316"
"09100","09101","00500","K12317"
"09100","09101","00500","K01203"
"09100","09101","00500","K20811"
"09100","09101","00500","K00692"
"09100","09101","00500","K18775"
"09100","09101","00500","K01212"
"09100","09101","00500","K05341"
"09100","09101","00500","K00689"
"09100","09101","00500","K00690"
"09100","09101","00500","K00963"
"09100","09101","00500","K01513"
"09100","09101","00500","K00706"
"09100","09101","00500","K01199"
"09100","09101","00500","K19891"
"09100","09101","00500","K19892"
"09100","09101","00500","K19893"
"09100","09101","00500","K01210"
"09100","09101","00500","K01188"
"09100","09101","00500","K05349"
"09100","09101","00500","K05350"
"09100","09101","00500","K00694"
"09100","09101","00500","K01179"
"09100","09101","00500","K19357"
"09100","09101","00500","K01225"
"09100","09101","00500","K19668"
"09100","09101","00500","K00702"
"09100","09101","00500","K02759"
"09100","09101","00500","K02760"
"09100","09101","00500","K02761"
"09100","09101","00500","K01222"
"09100","09101","00500","K01223"
"09100","09101","00500","K00978"
"09100","09101","00500","K00975"
"09100","09101","00500","K18447"
"09100","09101","00500","K00703"
"09100","09101","00500","K13679"
"09100","09101","00500","K20812"
"09100","09101","00500","K00693"
"09100","09101","00500","K00750"
"09100","09101","00500","K16150"
"09100","09101","00500","K16153"
"09100","09101","00500","K00700"
"09100","09101","00500","K16149"
"09100","09101","00500","K00688"
"09100","09101","00500","K01196"
"09100","09101","00500","K02438"
"09100","09101","00500","K01200"
"09100","09101","00500","K01176"
"09100","09101","00500","K07405"
"09100","09101","00500","K05343"
"09100","09101","00500","K01177"
"09100","09101","00500","K05992"
"09100","09101","00500","K01208"
"09100","09101","00500","K01178"
"09100","09101","00500","K21574"
"09100","09101","00500","K01182"
"09100","09101","00500","K05988"
"09100","09101","00500","K00705"
"09100","09101","00500","K22451"
"09100","09101","00500","K16146"
"09100","09101","00500","K16147"
"09100","09101","00500","K16148"
"09100","09101","00500","K00691"
"09100","09101","00500","K01838"
"09100","09101","00500","K02777"
"09100","09101","00500","K02791"
"09100","09101","00500","K20108"
"09100","09101","00500","K02750"
"09100","09101","00500","K06896"
"09100","09101","00500","K01232"
"09100","09101","00500","K00701"
"09100","09101","00500","K01214"
"09100","09101","00500","K06044"
"09100","09101","00500","K01236"
"09100","09101","00500","K13057"
"09100","09101","00500","K00697"
"09100","09101","00500","K01087"
"09100","09101","00500","K16055"
"09100","09101","00500","K22337"
"09100","09101","00500","K01194"
"09100","09101","00500","K22934"
"09100","09101","00500","K05342"
"09100","09101","00500","K02819"
"09100","09101","00500","K01226"
"09100","09101","00500","K01835"
"09100","09101","00500","K15778"
"09100","09101","00500","K15779"
"09100","09101","00500","K00844"
"09100","09101","00500","K12407"
"09100","09101","00500","K00845"
"09100","09101","00500","K25026"
"09100","09101","00500","K01084"
"09100","09101","00500","K11809"
"09100","09101","00500","K01810"
"09100","09101","00500","K06859"
"09100","09101","00500","K13810"
"09100","09101","00500","K15916"
"09100","09101","00500","K00847"
"09100","09101","00620","K01895"
"09100","09101","00620","K01913"
"09100","09101","00620","K00169"
"09100","09101","00620","K00170"
"09100","09101","00620","K00172"
"09100","09101","00620","K00189"
"09100","09101","00620","K00171"
"09100","09101","00620","K03737"
"09100","09101","00620","K00174"
"09100","09101","00620","K00175"
"09100","09101","00620","K00163"
"09100","09101","00620","K00161"
"09100","09101","00620","K00162"
"09100","09101","00620","K00627"
"09100","09101","00620","K00382"
"09100","09101","00620","K13997"
"09100","09101","00620","K00656"
"09100","09101","00620","K00132"
"09100","09101","00620","K04072"
"09100","09101","00620","K04073"
"09100","09101","00620","K18366"
"09100","09101","00620","K04021"
"09100","09101","00620","K13951"
"09100","09101","00620","K13980"
"09100","09101","00620","K13952"
"09100","09101","00620","K13953"
"09100","09101","00620","K13954"
"09100","09101","00620","K00001"
"09100","09101","00620","K00121"
"09100","09101","00620","K18857"
"09100","09101","00620","K00002"
"09100","09101","00620","K12957"
"09100","09101","00620","K13979"
"09100","09101","00620","K14028"
"09100","09101","00620","K14029"
"09100","09101","00620","K00114"
"09100","09101","00620","K04022"
"09100","09101","00620","K22473"
"09100","09101","00620","K22474"
"09100","09101","00620","K00925"
"09100","09101","00620","K00625"
"09100","09101","00620","K13788"
"09100","09101","00620","K15024"
"09100","09101","00620","K04020"
"09100","09101","00620","K00873"
"09100","09101","00620","K12406"
"09100","09101","00620","K11262"
"09100","09101","00620","K01946"
"09100","09101","00620","K01962"
"09100","09101","00620","K02160"
"09100","09101","00620","K01961"
"09100","09101","00620","K01963"
"09100","09101","00620","K11263"
"09100","09101","00620","K18472"
"09100","09101","00620","K01512"
"09100","09101","00620","K00128"
"09100","09101","00620","K14085"
"09100","09101","00620","K00149"
"09100","09101","00620","K00138"
"09100","09101","00620","K01067"
"09100","09101","00620","K18118"
"09100","09101","00620","K01026"
"09100","09101","00620","K01905"
"09100","09101","00620","K22224"
"09100","09101","00620","K24012"
"09100","09101","00620","K00158"
"09100","09101","00620","K00101"
"09100","09101","00620","K26113"
"09100","09101","00620","K26114"
"09100","09101","00620","K26115"
"09100","09101","00620","K00016"
"09100","09101","00620","K00156"
"09100","09101","00620","K00467"
"09100","09101","00620","K03778"
"09100","09101","00620","K03777"
"09100","09101","00620","K21836"
"09100","09101","00620","K00102"
"09100","09101","00620","K18930"
"09100","09101","00620","K21618"
"09100","09101","00620","K17741"
"09100","09101","00620","K23257"
"09100","09101","00620","K07248"
"09100","09101","00620","K19266"
"09100","09101","00620","K01759"
"09100","09101","00620","K01069"
"09100","09101","00620","K05523"
"09100","09101","00620","K18881"
"09100","09101","00620","K22211"
"09100","09101","00620","K22373"
"09100","09101","00620","K00049"
"09100","09101","00620","K12972"
"09100","09101","00620","K00090"
"09100","09101","00620","K00027"
"09100","09101","00620","K00028"
"09100","09101","00620","K00029"
"09100","09101","00620","K01571"
"09100","09101","00620","K20509"
"09100","09101","00620","K01573"
"09100","09101","00620","K01003"
"09100","09101","00620","K01958"
"09100","09101","00620","K01959"
"09100","09101","00620","K01960"
"09100","09101","00620","K00025"
"09100","09101","00620","K00026"
"09100","09101","00620","K00024"
"09100","09101","00620","K00051"
"09100","09101","00620","K00116"
"09100","09101","00620","K01676"
"09100","09101","00620","K01677"
"09100","09101","00620","K01678"
"09100","09101","00620","K01679"
"09100","09101","00620","K01675"
"09100","09101","00620","K01774"
"09100","09101","00620","K00244"
"09100","09101","00620","K00245"
"09100","09101","00620","K00246"
"09100","09101","00620","K00247"
"09100","09101","00620","K00233"
"09100","09101","00620","K25995"
"09100","09101","00620","K25996"
"09100","09101","00620","K26318"
"09100","09101","00620","K22212"
"09100","09101","00620","K01595"
"09100","09101","00620","K01596"
"09100","09101","00620","K20370"
"09100","09101","00620","K01610"
"09100","09101","00620","K01006"
"09100","09101","00620","K01007"
"09100","09101","00620","K01638"
"09100","09101","00620","K00626"
"09100","09101","00620","K01649"
"09100","09101","00620","K01655"
"09100","09101","00620","K02594"
"09100","09101","00620","K10977"
"09100","09101","00630","K01637"
"09100","09101","00630","K01895"
"09100","09101","00630","K01913"
"09100","09101","00630","K01638"
"09100","09101","00630","K00025"
"09100","09101","00630","K00026"
"09100","09101","00630","K00024"
"09100","09101","00630","K01647"
"09100","09101","00630","K01659"
"09100","09101","00630","K27797"
"09100","09101","00630","K01681"
"09100","09101","00630","K27802"
"09100","09101","00630","K01682"
"09100","09101","00630","K08692"
"09100","09101","00630","K14067"
"09100","09101","00630","K00626"
"09100","09101","00630","K00023"
"09100","09101","00630","K17865"
"09100","09101","00630","K14446"
"09100","09101","00630","K05606"
"09100","09101","00630","K14447"
"09100","09101","00630","K14448"
"09100","09101","00630","K14449"
"09100","09101","00630","K08691"
"09100","09101","00630","K14451"
"09100","09101","00630","K01965"
"09100","09101","00630","K01966"
"09100","09101","00630","K11263"
"09100","09101","00630","K27094"
"09100","09101","00630","K27095"
"09100","09101","00630","K18472"
"09100","09101","00630","K19312"
"09100","09101","00630","K22568"
"09100","09101","00630","K01964"
"09100","09101","00630","K15036"
"09100","09101","00630","K15037"
"09100","09101","00630","K01847"
"09100","09101","00630","K01849"
"09100","09101","00630","K01848"
"09100","09101","00630","K19268"
"09100","09101","00630","K01846"
"09100","09101","00630","K04835"
"09100","09101","00630","K19280"
"09100","09101","00630","K19281"
"09100","09101","00630","K19282"
"09100","09101","00630","K00104"
"09100","09101","00630","K11472"
"09100","09101","00630","K11473"
"09100","09101","00630","K11517"
"09100","09101","00630","K03781"
"09100","09101","00630","K00015"
"09100","09101","00630","K00049"
"09100","09101","00630","K15919"
"09100","09101","00630","K18121"
"09100","09101","00630","K12972"
"09100","09101","00630","K00090"
"09100","09101","00630","K00018"
"09100","09101","00630","K15893"
"09100","09101","00630","K22982"
"09100","09101","00630","K19269"
"09100","09101","00630","K01091"
"09100","09101","00630","K22223"
"09100","09101","00630","K01601"
"09100","09101","00630","K01602"
"09100","09101","00630","K00830"
"09100","09101","00630","K14272"
"09100","09101","00630","K00284"
"09100","09101","00630","K01915"
"09100","09101","00630","K00600"
"09100","09101","00630","K00281"
"09100","09101","00630","K00282"
"09100","09101","00630","K00283"
"09100","09101","00630","K00605"
"09100","09101","00630","K00382"
"09100","09101","00630","K02437"
"09100","09101","00630","K01608"
"09100","09101","00630","K01816"
"09100","09101","00630","K00042"
"09100","09101","00630","K00865"
