,2a,2b,2c,3a,3b,3c,4a,4b,5a,5b,5c,7a,7b,7c
K06675,1796,2494,3157,3741,2819,4785,3798,4223,2710,1988,3458,2185,2234,3198
K10865,1470,3337,4220,4770,3837,4612,7726,7142,3841,3952,5620,2762,3520,5267
K08835,1396,1836,2482,3492,2736,3538,5504,5399,2629,2504,4028,2058,2321,3895
K14843,3265,4275,5685,6945,5265,6996,11094,10389,4840,5008,8560,5709,5918,9250
K12812,1154,508,1466,1407,985,1514,1161,1352,908,866,1087,342,1472,1360
K20878,288,332,410,564,441,646,1066,819,420,418,711,457,378,679
K06062,102,162,253,227,298,288,449,442,300,311,472,142,172,338
K00894,14,30,27,32,60,74,76,54,63,60,113,64,13,131
K02896,1028,1316,1639,1768,1381,1736,2888,2565,1269,1246,2286,1152,1181,1880
K17262,569,657,1040,1118,1061,1097,1416,1309,610,697,1124,514,593,944
K03038,3503,4353,5960,7269,5718,7277,10800,9560,4204,4708,8293,5269,5731,7797
K13617,912,1273,1674,1818,1540,2087,2655,2639,1155,1236,2223,1281,1314,2012
K02736,1921,2754,3680,4847,3910,4800,6185,5951,2674,3246,5308,2611,2963,4098
K19752,1243,1646,2302,2480,2189,2915,4422,4070,1759,1875,3455,2137,2243,3665
K24186,3111,3571,4528,3710,3216,5079,5919,5281,2946,2242,5173,4802,4411,6807
K10414,704,652,1148,763,618,1685,925,800,910,319,687,1179,1185,2278
K06689,5312,6915,8462,11968,9369,12178,18373,17748,6887,8011,15054,8895,8718,12487
K05864,198,195,304,293,314,315,660,533,309,296,449,272,307,508
K21403,1354,1371,2133,2682,2048,2986,3043,2776,1500,1432,2858,1066,991,1600
K11188,3522,4490,5724,8303,6909,7906,16020,14410,6467,7220,11947,5880,6898,9947
K14050,0,28,37,21,73,69,109,99,109,114,134,157,34,266
K13982,18,97,128,195,89,191,240,263,172,152,144,230,244,260
K16296,34,66,74,97,63,116,130,158,116,96,119,163,166,236
K00591,96,157,172,251,174,260,423,432,199,227,338,241,219,320
K04523,7442,10216,13216,18634,13156,18137,26613,25613,11749,12718,21532,12996,13509,18598
K11166,189,247,297,323,275,345,572,518,274,313,472,174,230,420
K01363,7378,8351,10798,14398,11372,17415,24756,25248,15814,12408,22641,16993,19874,29367
K10777,419,426,597,501,623,829,878,876,595,455,782,544,595,917
K19584,5831,8542,11424,15268,11232,14855,28769,24242,11981,13173,20818,14332,13154,19556
K04382,1116,1266,1816,2061,1486,2011,2791,2857,1345,1309,2291,1526,1639,2208
K24525,25,83,76,101,63,84,162,168,81,87,142,130,98,134
K14575,173,229,311,342,322,417,506,454,231,251,438,216,221,404
K22072,194,145,273,316,244,301,641,568,204,266,454,225,231,312
K19603,1288,1758,2246,2529,1995,2523,5159,4418,1713,2408,3605,2179,2063,2840
K00383,7418,9358,13467,17156,12981,19217,34339,31604,17876,17516,28426,16053,16723,23388
