,2a,2b,2c,3a,3b,3c,4a,4b,5a,5b,5c,7a,7b,7c
K07588,834,853,1353,1334,1131,1759,1555,1522,815,778,1180,910,996,1360
K22766,514,661,785,1068,795,1072,1399,1117,939,863,1126,420,368,868
K15335,1869,2416,3103,3385,2586,3424,6626,5917,2743,2831,4967,3390,3177,5378
K24842,4192,4570,6531,6940,6125,8595,14069,13177,6739,5844,10789,7833,7763,13146
K03217,96,149,209,246,232,300,363,311,160,157,287,179,166,272
K03424,247,350,649,442,460,719,616,663,233,279,368,319,342,560
K18914,374,515,711,846,709,976,1521,1410,637,658,995,760,782,1170
K06515,21447,29375,35194,51414,37601,50238,89289,75677,36949,41420,72896,44240,38867,62938
K02895,126,216,316,295,239,317,473,452,176,293,392,201,201,281
K03686,858,944,1375,1436,1261,1758,2464,2180,1088,1086,1920,1349,1409,2326
K25614,5434,7004,10051,9456,7754,9707,11938,10367,5217,5730,9234,8330,9724,12771
K02735,2949,3722,5217,6028,5224,6197,9636,8567,3782,4539,7468,3967,4390,6561
K15371,12964,16208,21675,30309,25799,32396,40729,37220,19155,20377,34826,18605,19931,28912
K02087,243,266,382,737,599,811,2221,2223,1242,1188,1978,792,648,1558
K20791,584,710,904,778,617,850,1040,987,447,560,802,359,495,653
K01373,1855,2227,2602,4593,3563,4369,6932,5955,2848,3244,5457,1361,1350,3019
K15731,658,1012,1229,3212,2123,2694,1067,1126,864,865,1732,377,460,595
K12858,116,147,176,291,174,276,549,550,197,306,343,343,322,405
K25868,381,500,686,688,719,907,1312,1066,590,702,1059,527,507,904
K03935,0,0,0,2,3,3,3,2,2,0,3,3,1,5
K26405,227,307,374,331,354,462,679,565,313,259,506,310,234,582
K09609,4575,5601,7607,9962,7524,9778,19204,16793,7444,7658,13307,10201,10212,15617
K01893,5146,5898,8644,9348,7751,10584,11442,10969,4876,5088,8353,5803,5937,9283
K02905,3249,5728,7290,7178,5574,6146,11355,10714,4985,5192,8555,5405,6063,9605
K00784,790,649,1736,1240,1429,1804,2897,2640,925,1116,1564,1450,1750,2430
K02960,4198,5437,7345,8617,5719,8125,11644,10855,4336,5133,9066,4575,4839,6702
K02963,185,241,351,334,305,416,571,597,336,304,509,434,412,719
K05658,1937,2410,3142,3406,2765,4010,6584,5679,2938,2428,4802,3957,4012,7047
K02880,11076,18719,23674,25808,18609,25176,37441,33840,15084,16259,26722,18068,18190,24950
K21195,1,4,6,10,4,8,11,9,8,7,8,11,9,12
K01491,35,58,66,65,55,102,154,98,83,59,134,72,84,117
K16599,2348,2920,4247,4951,4025,5227,8155,7241,3602,3702,6288,3658,3919,5885
K02939,10,14,30,41,66,64,83,95,66,89,148,43,26,70
K02917,2862,8524,10217,12508,8342,10502,16561,15151,8583,9837,12720,7026,7753,9887
K18932,211,273,392,484,436,472,744,631,304,333,549,369,416,693
K03033,2409,2829,3992,4045,3528,4793,6826,6745,2768,3190,5241,3652,3554,5849
K00525,6116,6701,8958,10574,8481,13057,11484,10984,6636,5490,10993,5140,5213,8996
K24759,4168,4828,6068,5711,4527,8047,5849,5654,3333,2840,5464,4360,4207,6765
K04460,3044,3850,5359,7101,5408,7471,11988,11071,5185,5667,9179,6055,5806,8973
K00465,472,559,717,841,792,954,1863,1824,900,880,1426,928,937,1479
K02355,1535,1776,2620,2438,1990,3207,2611,2500,1333,1197,1955,1418,1476,2462
K22125,5351,5952,7732,9652,8086,11734,14717,14335,8704,6664,12349,5078,5156,10098
K02898,5660,7562,10476,12757,9551,11987,20420,18124,7403,9223,15092,8534,9282,12702
K24835,16525,19070,24766,31182,24260,36671,53566,44117,21652,18897,38213,29588,25925,47176
K19788,2551,3925,5336,6345,4953,6713,8186,6985,4799,4670,7123,2389,2778,4204
K25451,7214,8800,11475,14462,11359,16315,23063,21430,10792,10408,18862,11646,11423,18435
K20872,2705,3006,4143,5102,3899,5056,6070,5659,2680,2884,5196,2432,2534,3749
K12200,8348,9704,14110,15892,13141,17988,22071,20922,10855,11776,19573,14519,15362,20270
K01689,2985,5024,6314,11646,9516,11891,9611,9141,8991,8874,9740,2745,2942,4740
K03417,253,376,531,529,443,604,1214,1001,346,414,719,515,600,749
K01681,6506,9189,11727,16769,13624,18827,30471,30274,17047,18723,26495,19449,17385,26235
K02984,18496,25423,34256,38077,28970,39110,54102,49553,21254,24657,43185,23611,25271,34976
K20536,1356,1609,2246,2678,2033,2789,5282,4584,2174,2247,4057,2904,2844,4540
K08568,16765,19567,26127,37511,26664,38045,49399,43501,21547,23762,41727,24313,21988,33925
K07001,1020,1159,1763,1562,1516,1950,2871,2514,1066,1185,2011,1428,1660,2469
K19656,5288,6034,8140,8283,6809,10308,11955,11507,5813,5189,9754,7129,7422,11939
K19573,4255,4846,6660,8159,6501,8236,16616,15191,6223,6783,12412,7451,7856,11842
K07917,173,285,380,436,329,402,443,408,232,261,349,132,133,279
K14768,428,510,696,687,689,836,1154,1095,555,541,877,483,476,839
K05857,251,254,288,328,332,480,593,570,303,360,539,253,260,499
K15332,265,448,525,341,358,556,667,578,291,288,409,349,260,539
K14351,48,68,110,107,86,130,234,208,90,103,166,114,132,154
K14326,1191,1448,2032,2731,2059,2562,6053,6377,3524,3268,6163,3543,3244,5601
K18203,73,58,88,102,144,145,185,156,96,119,164,110,66,190
K06178,193,165,258,218,281,287,532,432,260,259,464,233,177,496
K16757,4521,5619,7154,8421,6427,9130,14498,12669,5741,6093,10962,7612,7313,10487
K04688,4343,5336,7191,8584,6898,9483,13597,12629,6136,6486,11429,7939,7086,11502
K01520,308,410,526,678,537,696,920,905,446,539,848,153,200,348
K00847,290,380,576,732,588,753,826,825,401,491,842,308,368,535
K17616,2832,3570,4699,5750,4614,6028,9749,9459,4026,4335,7760,6346,6004,9191
K18810,5475,6616,8827,14243,9988,13421,20981,18194,11115,11837,20782,11369,11027,15153
K14824,1260,1545,2256,2520,2059,2830,4366,4195,2092,1901,3597,2885,2746,4922
K08211,2306,2857,3762,4605,4099,4945,9265,8199,4414,4380,7975,4260,4201,7460
K18408,4963,7277,8225,11437,8356,10781,16035,16479,9601,8634,13650,6533,6659,10558
K15505,4459,5437,7753,9178,7115,10426,12725,12447,6068,6272,10865,6571,6043,10134
K01142,279,314,457,501,502,520,756,714,352,418,675,264,377,573
K24746,780,890,1136,1354,1244,1471,2263,1868,998,1024,1839,1146,1069,2062
K11835,90,170,191,286,372,372,720,625,595,371,708,459,216,916
K21814,481,600,797,1080,864,1119,1500,1430,489,631,1219,956,986,1511
K20472,34,62,77,69,81,112,155,138,84,75,144,47,37,101
K03036,1920,2188,3509,3425,3203,4176,5089,4883,2124,2512,3955,2602,2466,3994
K14556,503,812,923,921,932,1131,1097,1133,587,557,958,480,392,812
K17917,87,118,181,140,235,255,387,314,166,211,297,193,131,383
K05542,392,525,610,485,533,685,844,681,345,324,546,342,291,581
K02893,10025,15836,20726,22607,16756,22945,29183,26147,11030,13029,23021,12770,12661,18309
K00997,0,1,7,1,7,1,7,7,11,10,14,8,0,18
K19759,2720,3095,4385,3800,3655,5153,6179,6038,2970,2856,5136,3894,4013,6388
K10858,22,20,19,12,24,25,32,21,29,11,32,13,5,48
K15987,1911,2632,3373,4217,3446,3881,9886,8464,3984,4365,6684,3233,4019,5952
K05236,1385,1665,2325,2099,2057,2969,3470,3440,2257,1829,3344,2174,2032,3921
K16575,961,1262,1789,2061,1565,2143,3183,2791,1291,1446,2365,2233,2054,3055
K09487,38961,41600,59389,61279,50593,71986,80991,73054,36301,35751,65540,42888,43314,70171
K14554,677,701,1086,986,984,1376,2274,2180,1078,1078,1878,1228,1139,2439
K08796,223,273,402,379,329,478,687,669,348,350,536,384,421,639
K12618,1498,1785,2521,2160,2577,3597,3629,3563,2846,1879,3614,3115,2776,5703
K01094,26,25,21,42,68,48,83,63,55,39,84,47,13,72
K03357,186,228,365,337,247,410,599,565,249,300,440,239,277,371
K14764,54,63,75,61,87,118,133,124,190,91,141,123,99,296
K00428,2657,2958,4212,4918,3973,5475,7301,7358,3604,3526,5355,3532,3848,6237
K02168,8,39,45,40,35,62,52,50,45,29,54,32,41,57
K11338,5111,6417,8990,9234,7127,10405,14831,13613,6495,6409,10976,8962,8650,12395
K15865,261,297,412,443,427,533,503,487,257,260,471,279,265,411
K01519,767,864,980,1957,1691,1748,1579,1394,1126,1171,1769,307,398,726
K09506,920,1052,1489,1528,1560,2023,2895,2671,1208,1288,2134,1554,1503,2411
K01937,2255,3241,4203,4544,3510,5112,7454,7060,4189,3906,6154,4707,4666,6138
K20003,68,121,130,207,174,203,297,242,147,165,271,96,71,187
K17255,3655,4660,6384,7364,5957,8264,11141,10204,4722,5151,9077,6348,6019,8942
K07561,322,497,537,565,496,668,958,955,441,515,765,399,392,676
K06147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K02955,10497,16390,22625,22414,18841,22666,34615,30680,14107,15888,24649,13310,16051,23063
K10693,711,819,1402,1473,1528,1939,3465,3141,1529,1573,2740,1826,1692,3127
K19672,6182,7624,9837,10515,8041,12326,14714,14148,7422,6427,11675,8935,8942,14300
K23788,411,359,553,757,542,764,865,767,406,429,686,421,441,787
K17260,1943,2099,3012,3569,2787,3701,4905,4673,2534,2230,4232,2821,2926,4591
K10688,165,170,211,253,282,264,428,398,169,227,382,178,141,304
K16794,1082,1242,1900,1993,1709,2221,3354,3043,1336,1475,2731,1707,1927,2617
K09592,5,42,54,36,71,53,144,118,69,77,119,88,41,175
K16197,409,459,523,592,542,543,1285,1115,459,482,954,562,656,912
K02962,6720,8531,11857,13246,11511,13015,23520,20809,9171,10509,17061,8745,10682,15594
K00993,136,205,245,325,263,275,461,450,258,236,448,281,207,453
K07093,18,35,49,28,38,95,25,22,22,24,59,9,14,34
K17807,35,44,41,78,90,60,98,100,70,66,127,80,20,172
K00863,2302,3368,4830,4948,4277,6164,7003,6987,4896,4863,6496,3304,3222,4621
K19374,130,200,310,293,290,436,741,689,270,316,433,324,340,554
K02145,7891,11899,16633,20301,15888,22783,23283,21320,13749,14065,19269,7519,8419,12524
K19369,1429,1633,2237,2673,2103,2645,4131,3818,1622,1896,3377,1799,2204,3131
K02210,2498,2746,4078,4555,3483,5198,5266,4671,2650,2671,4365,3115,3053,4794
K05956,266,318,461,419,399,462,775,743,328,350,636,503,423,825
K16570,1457,1779,2595,2765,2317,3243,4294,4018,2039,1782,3179,2052,2109,3711
K10411,4045,5383,6862,9933,7617,9804,13303,12515,5592,6095,11525,5781,6262,8514
K16185,1246,1370,2031,2204,1828,2390,3461,3494,1468,1737,2731,1668,1866,2774
K04348,2527,2913,4224,4881,4228,5497,8308,7754,3530,3793,6679,4484,4647,7073
K20779,122,106,423,101,404,475,649,470,304,306,450,1463,519,2379
K01768,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K15715,614,854,961,1532,1626,1721,2834,2510,1741,1702,2717,1226,836,2262
K02989,2048,2917,3962,4340,3110,4409,6148,5046,2344,2955,4617,2498,2521,3470
K19801,276,251,358,323,303,401,527,474,309,235,394,339,295,531
K07513,310,330,440,431,391,490,889,764,321,348,694,307,343,541
K24498,430,511,704,750,524,874,849,962,554,423,661,619,590,923
K16911,1175,1430,1990,2845,2083,3183,7476,7470,3545,3070,5476,3658,3657,5798
K18655,1783,2234,2871,3412,2594,3534,4527,4285,2225,2049,3809,2465,2565,3687
K05661,3653,3959,5594,6678,5941,8129,13959,12855,6028,5810,10196,10834,10813,17005
K14521,1173,1269,1837,1471,1108,2054,1315,1200,774,740,1134,808,780,1301
K15102,7971,12625,17621,24261,19033,25014,33906,31368,16925,19421,25532,13430,14774,20741
K04077,3225,8381,10705,11568,8068,12892,10503,8155,6230,7036,6790,5989,5265,6382
K03064,1551,2063,3055,3804,3084,4101,4942,4739,2190,2484,3787,2224,2379,3430
K06961,727,855,1169,987,916,1123,2392,2109,837,1091,1655,826,1064,1602
K01267,1464,1898,2350,4262,3200,4367,4594,4494,2536,2919,4597,1074,1168,1796
K14799,1124,1362,1876,2172,1856,2396,4788,4448,2149,1977,3792,2574,2338,4445
K17279,11575,13971,18146,28512,22481,27822,36945,32964,15882,17565,30843,13671,13063,22364
K07375,36379,86360,114116,187990,120165,187463,286870,238992,130751,159041,215556,101499,84218,118726
K03439,237,290,416,471,372,503,576,570,251,308,453,202,180,318
K10589,735,784,1232,1200,1385,1646,2264,2154,1235,1170,1997,1268,1141,2245
K03327,449,623,766,807,763,1039,1559,1441,708,755,1305,792,729,1261
K22745,42,43,60,93,76,90,181,159,131,97,163,94,47,161
K05925,1321,1527,2175,2790,2359,2992,3743,3594,2038,1834,3495,1577,1689,2846
K18890,113,178,209,262,206,300,664,626,281,226,417,377,380,493
K11340,958,1071,1569,1784,1380,1955,1953,1791,934,942,1659,1153,1225,1626
K16747,1453,1864,2568,2882,2491,3225,5070,4480,2083,2115,3945,2458,2629,3985
K10662,405,519,781,986,770,1020,1345,1328,590,773,1221,721,655,934
K11806,965,1640,2145,2447,1796,2621,2746,2512,1488,1743,2267,1296,1208,1646
K24205,7896,9387,12080,15680,12852,14823,24762,22146,10659,11427,20442,12596,13225,19966
K07575,132,176,257,238,213,237,315,284,127,134,209,108,147,204
K14006,1709,2346,2956,4083,2917,4424,3970,3630,2048,2175,3270,2139,2175,2793
K08805,154,200,301,277,330,381,461,432,237,234,430,257,205,404
K13525,7882,10324,14543,15839,14200,20262,22023,22794,12461,12004,18880,14746,14354,21005
K04345,5542,7864,10370,15203,11216,15093,19065,18356,8624,9697,15823,10424,9890,13912
K04794,88,163,209,277,182,250,438,522,224,217,388,261,279,294
K16582,1504,1863,2692,2888,2322,3517,4609,4658,2322,2136,4045,2880,2787,4284
K01889,2288,2928,3952,4993,4203,5865,7935,7751,3722,4067,6532,2707,2751,4538
K03008,143,240,308,369,253,336,491,405,191,242,331,186,205,267
K07763,678,1551,1853,2088,1417,1804,5650,4853,1749,2086,3318,1963,2128,3070
K04628,173,176,255,288,251,336,533,494,285,244,381,244,232,438
K08956,2401,2407,3518,3889,3492,4575,6251,6154,3054,2960,5429,4150,4019,6955
K03002,1092,1168,1509,1886,1444,2018,3010,2831,1529,1340,2424,1646,1560,2645
K04797,1806,2538,3387,4169,3379,3925,7029,6260,2486,2985,5168,2607,3104,4260
K12361,0,1,1,5,2,1,14,5,7,6,6,6,6,6
K11140,266,354,476,601,527,596,1212,1268,618,595,1045,670,728,1141
K11884,386,527,768,661,580,828,875,812,381,417,654,324,478,596
K04773,0,0,0,0,0,0,0,2,0,0,0,0,0,0
K23025,8890,14689,18249,26677,19255,26935,32223,27361,18789,19356,27290,12915,12120,18212
K12189,168,256,342,381,390,426,711,544,240,335,585,207,229,450
K19753,365,531,635,773,717,958,936,1048,574,437,860,589,617,925
K14787,433,712,890,941,1012,1280,2899,2688,1397,1322,2378,1374,935,2669
K05648,2502,2909,3904,4297,3528,5165,10726,9237,5011,3766,6988,6918,5909,10668
K14776,365,464,692,626,431,748,825,910,463,439,824,912,890,1239
K11160,55,118,185,218,170,200,516,481,213,187,314,239,332,386
K23490,17,35,72,0,0,62,0,0,18,0,0,0,105,44
K21398,887,1480,1972,2739,2232,3112,5124,4437,2128,2477,3526,2003,1962,3011
K03308,1832,3098,3963,4536,3588,4992,9031,8107,5503,5142,7265,3831,3319,5650
K05610,759,1006,1450,1364,1354,1773,2452,2447,1080,1129,1858,1236,1403,2198
K19607,71,61,81,77,71,130,166,145,116,74,135,76,78,146
K03259,769,1634,2079,2999,1882,2341,4202,3904,2646,2853,3115,2198,2600,2861
K15446,21,37,34,31,81,72,82,101,93,48,122,78,31,138
K05016,524,778,967,1091,883,1155,1814,1616,847,851,1427,1376,1303,1757
K02991,5307,10775,14961,16114,12006,15799,18480,17083,9875,11960,14079,8452,9134,11947
K03037,1131,1582,2145,2445,2374,2916,3948,3729,1712,2020,3165,1975,1759,2957
K04441,1720,1870,2726,2938,2340,3265,5958,5233,2098,2421,4143,2269,2412,3925
K02925,93,290,282,480,339,326,564,653,322,320,448,403,386,465
K02921,8758,11641,15577,17032,14556,16525,26883,23586,10327,11509,21434,10130,11730,17295
K01868,3313,4021,5734,5689,4910,7681,8159,8096,4205,4006,7275,5497,5384,7726
K08830,1802,2773,3712,4499,3406,4591,7720,6726,3611,3827,5987,5020,4370,6641
K23531,564,686,847,1262,1034,1252,2012,1886,1013,903,1719,1068,897,1694
K12820,175,315,326,433,373,441,440,475,260,177,423,188,171,416
K24740,3339,4148,5741,6022,5240,7451,9244,8633,4651,4185,7464,6032,5845,9722
K01539,15591,22689,29978,47465,33748,45224,64817,53430,30964,33281,53611,24540,21593,36569
K16744,2003,2325,3306,4233,3006,3942,8503,7027,2824,3499,5910,2848,3252,4578
K07178,245,340,416,418,433,531,948,855,399,391,792,461,460,842
K15507,7,9,37,21,65,51,74,67,73,62,102,60,25,94
K02998,8859,19722,25784,29644,21482,26753,37375,32818,21278,22787,26829,19791,21419,26377
K03065,1642,2930,4168,4475,3674,4811,6128,5416,3134,3493,4377,3572,3505,4867
K06176,157,174,261,235,278,350,275,286,187,212,289,144,111,257
K06944,3162,3861,5290,6140,5007,6805,9991,9431,4176,4257,7631,4920,5687,7786
K00586,332,359,444,476,407,527,415,461,248,242,404,157,187,290
K24728,11565,16694,22269,27520,22450,31059,41122,38655,20101,21542,31586,22691,22988,31519
K14536,729,867,1282,1455,1401,1892,2898,2564,1336,1395,2598,1294,1019,1977
K04649,2271,3763,4864,6114,4962,6184,8051,7290,3460,4210,6452,3590,3896,5490
K08828,2748,2952,4208,4862,4379,6087,8988,8284,4258,4005,7299,5632,4855,9607
K00873,2815,4561,5857,7642,5924,8346,7113,6077,5119,5833,6608,1471,1601,2409
K02979,3072,4910,6743,7145,5887,7394,13312,11577,6107,6190,10062,5576,6683,10006
K15734,6,18,28,23,26,19,52,43,43,27,52,28,18,75
K23628,9122,10711,14018,17778,13524,18308,46316,44174,17257,17231,32507,25003,23835,35841
K19679,6203,7824,11138,11219,8919,12935,17957,16726,7961,8554,13548,9140,9353,13802
K05916,539,516,627,1089,731,995,2053,2086,938,1096,1653,773,756,1307
K18469,107,116,154,126,178,245,300,281,165,179,236,146,100,213
K18633,144,260,320,374,318,338,648,515,297,361,586,172,207,398
K12041,606,618,818,1310,1072,1137,1796,1592,852,823,1460,649,615,1013
K11206,483,683,681,756,659,760,1078,1016,473,473,880,479,458,709
K03183,157,238,325,348,380,386,655,625,262,342,587,259,326,464
K09529,321,421,528,568,528,702,1270,1138,585,644,1061,638,694,1154
K03627,107,192,190,306,194,294,445,444,199,227,355,202,213,278
K18467,529,824,1178,1235,1117,1373,2067,1704,912,1012,1484,875,1029,1302
K00888,1115,1228,1789,1774,1604,2105,3373,3099,1390,1381,2372,1467,1467,2834
K08730,704,767,952,1677,1222,1499,2811,2416,1148,1126,2026,1095,1144,1787
K09580,11228,16107,22488,27443,20959,27048,41779,34377,18217,20824,29550,22409,23317,31403
K06927,703,807,984,1412,1188,1473,2054,1952,1130,1152,1819,578,563,1249
K02902,599,650,833,1108,935,1013,2407,2168,894,1189,1798,1001,1015,1786
K02983,3236,7234,8592,10426,7798,8249,17036,14880,6263,7229,11507,5745,6584,9873
K06671,3159,3352,4699,4989,4423,6641,8691,8391,4382,3923,7169,4743,4661,8011
K01054,66,129,161,166,227,242,264,262,194,206,260,103,78,224
K07004,0,0,0,0,0,0,0,0,0,0,0,0,0,3
K24611,56,58,83,119,139,140,154,145,131,121,164,123,83,201
K02865,5471,9781,12468,14828,10197,13637,22059,19277,9506,11047,15883,10667,11345,14274
K00699,1079,1668,2375,3598,2658,3462,4371,4085,2842,2999,4195,1754,1978,2664
K14810,1318,1652,2194,2880,2117,2785,4273,4218,2325,2271,3967,1956,1921,2892
K08065,2,7,5,5,1,9,20,27,11,12,15,10,16,6
K00318,857,964,1281,1841,1577,1902,2511,2485,1476,1371,2175,811,947,1707
K02685,612,721,875,1377,1039,1453,1403,1289,743,676,1209,573,548,835
K02922,5809,8054,10731,10868,8622,11123,15466,14355,6792,7215,12516,5446,6713,9690
K02941,16853,22446,30976,33226,26504,34373,46185,42926,19282,23001,36986,20130,21576,30904
K13691,3226,4245,5868,8490,6679,9265,12173,11170,5878,6322,10128,3459,3720,5830
K21436,5181,6946,9064,10526,8381,11334,17219,15872,8484,8180,13142,9806,10389,15317
K09531,132,198,339,280,345,441,567,482,299,269,438,354,245,592
K03347,6264,7001,10050,10850,9417,13536,17585,17353,7902,8094,15248,11116,10832,16240
K04648,2233,2491,3278,4969,3726,4749,9920,8491,3407,4083,6961,4236,4555,6570
K16470,3945,4472,6512,6189,5307,7867,9805,9709,5491,4392,8521,6822,7091,11105
K03853,2418,3135,4156,4571,3812,5550,6889,6517,3734,3306,5729,3768,4119,6213
K00858,156,234,313,331,302,361,506,542,226,266,463,289,229,525
K06994,1046,1354,1918,2588,2244,2894,6870,5977,2629,2757,4894,3595,3572,6320
K10575,1128,1505,2008,2432,2019,2377,3649,3350,1493,1840,2979,2007,1956,2716
K01381,596,745,937,1185,1255,1361,2203,2067,1186,1227,2149,1338,1146,2265
K22074,291,367,745,794,811,929,1889,1797,670,833,1316,612,728,1144
K01354,1709,2007,3167,3071,2680,3779,4443,4240,2071,2234,3654,2304,2339,3958
K14563,4905,8814,12154,12605,9002,11989,16764,15382,7310,8083,12106,7888,8625,11511
K11654,2252,2579,3522,3980,3037,4857,5753,5351,2900,2492,4947,3613,3686,5268
K19756,7372,11418,15322,20173,15375,21286,28169,25754,13408,16296,22383,14613,14684,20092
K15712,18,17,34,23,26,24,88,64,38,35,67,54,20,71
K10579,2045,2655,3806,4531,3723,4532,6838,6369,3029,3185,5475,2925,3052,4754
K03267,1737,2031,2571,4460,3428,4270,7817,8046,4925,3603,6403,3362,3680,6329
K22381,2318,2217,3596,3504,3181,4527,6838,6125,2684,2651,4803,3752,3495,6498
K20278,2155,2657,3753,4115,3601,4951,7308,7091,3603,3494,6090,4435,4378,7027
K01255,318,379,421,751,537,750,586,660,342,326,549,350,327,496
K08958,447,552,837,987,776,1025,1427,1415,758,646,1120,1006,1045,1627
K03926,39,56,69,117,76,111,87,102,61,64,89,30,34,65
K02873,1796,4166,5349,6140,3843,5826,9749,8149,3700,4793,6928,4598,4294,5197
K10260,27,26,35,32,24,51,51,42,31,23,39,40,43,51
K07935,2210,3399,4427,5342,3997,4850,8934,7671,3111,3586,6205,3224,3929,5501
K06072,207,381,413,549,533,622,628,621,357,422,648,206,188,414
K02111,1481,1883,2852,3499,2957,3960,5422,5501,2909,3339,4239,2990,3206,4810
K15115,33,86,77,89,157,136,200,162,120,122,243,97,40,224
K21770,2546,2809,3823,3983,3168,4465,3171,2824,1869,1579,3178,1817,1705,2330
K18663,2015,2337,3410,3419,2875,4413,4223,4278,2454,1914,3413,3096,2966,4700
K02969,7503,12963,16661,16281,12466,16315,19609,17211,8211,9049,14437,7580,8241,11802
K05009,350,434,602,800,690,802,1995,1903,985,1015,1518,771,765,1298
K03768,130,169,238,268,236,260,412,337,167,180,292,187,193,338
K24247,0,0,0,4,4,6,13,12,4,2,8,3,2,0
K04957,2,4,9,2,13,5,5,3,10,9,13,13,6,35
K07901,6,0,3,3,2,5,14,4,1,2,4,1,1,1
K08762,1782,2318,3133,3702,2954,3515,7128,6579,2803,3158,4882,1992,2593,3853
K07931,1631,2060,2773,3176,2768,3306,5322,4764,2027,2497,4252,2054,2370,3592
K12385,1907,1957,2762,4457,3306,4505,10025,9026,4442,3600,6931,6449,6816,10799
K20279,62,127,171,127,251,290,334,280,210,169,346,182,107,383
K04079,23548,32376,45273,57038,38526,65726,108140,96029,47667,45899,82137,62469,63317,85083
K07390,321,344,579,519,549,593,1006,870,425,526,671,373,422,602
K01623,2432,3048,4536,6003,4893,6589,8447,8999,3842,4220,6725,2592,2762,4713
K10884,621,957,1224,1536,1378,1682,2282,2426,1154,1086,1885,1000,1086,1588
K09530,152,203,222,284,259,313,634,625,289,276,557,336,274,578
K19942,6191,6870,9195,11153,9498,12856,20430,18687,7771,8462,15768,9526,9620,14558
K03014,934,1442,1983,2279,1648,2240,2838,2661,1103,1288,2096,1444,1628,2163
K08734,18,13,24,18,35,41,62,63,66,46,81,38,33,135
K08740,105,111,184,300,330,371,1407,1238,584,550,1028,551,554,1065
K02209,1000,1260,1663,2297,1613,2252,3673,2966,1268,1609,2827,1235,1120,1898
K03361,2529,2797,3698,4320,3567,4487,7991,7188,3344,3406,6106,3347,3261,5829
K25554,15504,17987,24288,28599,23083,33250,43688,41029,20470,19621,36854,25098,24507,38768
K24795,403,516,766,780,733,1024,1214,1214,612,652,938,745,638,1291
K25461,4832,7083,9988,10925,8524,12078,19012,16641,9025,9688,13846,10273,10142,15022
K12348,85,140,160,184,180,232,396,287,176,191,250,178,95,355
K08799,74,78,104,101,164,162,503,336,177,193,345,383,272,768
K11479,1,0,0,0,1,1,2,2,0,2,0,1,0,2
K10908,164,205,282,411,314,343,700,573,280,267,558,307,241,484
K10361,267,367,428,382,416,694,678,615,629,365,716,642,409,1463
K00658,1785,2756,3763,5239,4137,5317,6082,5637,3994,4423,4898,2515,2816,3980
K03015,160,137,187,247,185,288,311,232,132,134,250,76,74,98
K05592,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K04740,131,195,266,324,259,320,456,354,214,214,397,165,200,296
K00949,209,200,292,349,344,381,502,536,250,286,477,194,245,351
K04078,2292,2800,3993,4052,3539,4151,7317,6108,2820,3324,5030,2264,2724,4040
K02900,12351,18135,23697,30896,24941,29900,42552,40427,18741,19948,37743,19360,20159,28892
K14819,197,267,369,278,213,279,241,232,128,155,253,73,118,154
K11583,3117,3556,4769,5334,3993,5381,9741,8746,3579,3967,7280,5140,4843,7304
K07374,5695,18469,23031,41273,23364,37019,47109,42706,24707,30500,35976,18994,17988,21984
K00020,632,769,978,1517,1224,1602,1714,1650,894,1029,1593,484,517,859
K00999,69,65,98,122,123,119,119,96,71,72,125,36,32,85
K02540,3716,3923,5448,5845,4852,7661,7135,6888,3713,3430,6217,3123,3054,5227
K07944,10242,14558,19726,24582,20525,25601,37437,34869,18370,20142,29898,15865,19477,26517
K01880,35,80,84,104,68,141,118,152,71,53,107,64,68,73
K16271,8,6,8,2,28,19,50,15,43,42,75,12,3,59
K00413,1793,3329,4504,6424,4635,6042,8903,7782,4728,5749,6654,4110,4023,5698
K15026,1610,2187,2738,3275,2479,3703,4770,4642,2460,2227,3914,2940,2971,4579
K02870,9576,13032,16676,20106,14490,19096,24864,23717,10112,10998,21335,11733,12081,17378
K07910,270,323,511,584,441,542,1440,1235,545,626,1001,553,748,1069
K00161,3573,4472,6153,7744,7006,8253,13169,12792,5677,7017,10727,6538,6709,10326
K24230,719,738,1322,1124,1022,1180,1596,1603,730,824,1397,742,930,1203
K07560,623,633,924,949,821,1018,2891,2563,909,1037,1727,1026,1119,1805
K00235,1220,1513,2049,2498,2261,3114,4888,4427,1941,2520,3821,2033,2135,3235
K23965,13626,19204,26678,30923,23879,35191,52167,46001,24485,25559,40775,29249,28077,39748
K02915,9160,10533,14723,15084,12401,14444,25549,22028,8348,11186,18027,8070,10764,14082
K09494,5413,9042,12968,12588,9083,13930,18203,16639,9452,10124,13538,10509,10634,14071
K19219,41,61,53,63,100,89,158,125,87,79,130,58,51,123
K07182,0,3,4,1,3,13,31,28,13,12,16,21,13,14
K01408,1404,1603,2156,2521,2221,2615,4673,4142,2101,2085,3754,2536,2306,4369
K02149,4056,5038,6388,9507,7609,9674,14435,13841,6237,6786,12299,6191,6709,9573
K13254,720,1000,1455,1533,1357,1900,2982,2946,1298,1397,2335,1583,1657,2547
K20131,59,35,71,48,99,91,147,129,154,109,229,110,49,302
K11661,1771,2002,3078,3277,2993,4551,5350,5018,2743,2487,4319,2849,2741,4972
